Phase,Phase_Name,Phase_Description,Phase_Question_Count,ID,Question,Type,Category,Required,Options,Help Text,Industry,Subcategory
1,Basic,Essential questions for quick onboarding (3-5 min),5,business_name,What is your business name?,text,business_info,TRUE,,,Core,All
1,Basic,Essential questions for quick onboarding (3-5 min),5,business_description,Provide a brief description of your business and what makes it unique,text,business_info,TRUE,,This helps the AI understand your brand voice and positioning,Core,All
1,Basic,Essential questions for quick onboarding (3-5 min),5,target_audience,Who is your primary target audience?,multi_select,customer_profile,TRUE,"Students (18-24)|Young Professionals (25-34)|Established Professionals (35-50)|Seniors (50+)|Families with children|Teenagers|All ages",,Core,All
1,Basic,Essential questions for quick onboarding (3-5 min),5,marketing_goals,What are your primary marketing goals? (Select all that apply),multi_select,goals,TRUE,Increase foot traffic|Boost sales during slow periods|Attract new customers|Build customer loyalty|Increase average transaction value|Promote specific products/services|Build brand awareness|Increase social media engagement,,Core,All
1,Basic,Essential questions for quick onboarding (3-5 min),5,typical_discount_range,What discount range are you comfortable offering?,multiple_choice,marketing,TRUE,5-10%|10-20%|20-30%|30-50%|50%+|BOGO/Bundle deals only,,Core,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,brand_voice,How would you describe your brand voice?,multi_select,business_info,TRUE,Professional|Friendly and casual|Fun and playful|Sophisticated|Trendy|Traditional|Humorous|Inspirational,,Core,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,customer_income_level,What is the typical income level of your customers?,multiple_choice,customer_profile,TRUE,Budget-conscious|Mid-range|Premium|Luxury|Mixed,,Core,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,operating_hours,What are your typical operating hours?,text,operations,TRUE,,e.g. Mon-Fri 9AM-6PM Sat 10AM-4PM,Core,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,busiest_days,Which days are typically your busiest?,multi_select,operations,TRUE,Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday,,Core,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,busiest_hours,What are your busiest hours during the day?,multi_select,operations,TRUE,Early morning (6-9 AM)|Morning (9-12 PM)|Lunch time (12-2 PM)|Afternoon (2-5 PM)|Evening (5-8 PM)|Night (8-11 PM)|Late night (11 PM+),,Core,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,slow_periods,When do you typically experience slow periods?,multi_select,operations,TRUE,Monday mornings|Weekday afternoons|Mid-week|Sunday evenings|Early mornings|Late nights|Specific months (specify in comments),,Core,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,seasonal_relevance,Is your business affected by seasons or holidays?,boolean,operations,TRUE,,,Core,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,important_seasons,Which seasons/holidays are most important for your business?,multi_select,operations,FALSE,New Year|Valentine's Day|Spring Break|Easter|Mother's Day|Father's Day|Summer|Back to School|Halloween|Thanksgiving|Black Friday/Cyber Monday|Christmas/Holiday Season|Local festivals/events,,Core,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,previous_successful_promotions,Describe any promotions that worked well for you in the past,text,marketing,FALSE,,This helps the AI learn what resonates with your customers,Core,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,competitor_awareness,What do your competitors typically offer in terms of deals?,text,marketing,FALSE,,,Core,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,cuisine_type,What type of cuisine do you offer?,text,business_info,TRUE,,,Food & Drink,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,dining_style,What is your dining style?,multiple_choice,business_info,TRUE,Fast casual|Fine dining|Quick service|Take-out focused|Delivery focused|Dine-in focused,,Food & Drink,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,menu_highlights,What are your signature/best-selling items?,text,business_info,TRUE,,List 3-5 items you want to promote,Food & Drink,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,dietary_options,What dietary options do you offer?,multi_select,business_info,TRUE,Vegetarian|Vegan|Gluten-free|Halal|Kosher|Keto|Low-carb|Organic,,Food & Drink,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,average_check_size,What is your average check size per customer?,multiple_choice,operations,TRUE,Under $10|$10-$20|$20-$35|$35-$50|$50-$75|$75+,,Food & Drink,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,meal_periods,Which meal periods do you serve?,multi_select,operations,TRUE,Breakfast|Brunch|Lunch|Afternoon/Tea time|Dinner|Late night,,Food & Drink,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,drink_program,Do you have a notable drink/beverage program?,multiple_choice,business_info,TRUE,Full bar|Beer and wine|Specialty coffee|Specialty tea|Fresh juices/smoothies|No special program,,Food & Drink,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,customer_visit_frequency,How often do customers typically visit?,multiple_choice,customer_profile,TRUE,Multiple times per week|Weekly|Bi-weekly|Monthly|Occasionally/Special occasions,,Food & Drink,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,happy_hour_interest,Are you interested in promoting happy hour or off-peak specials?,boolean,marketing,TRUE,,,Food & Drink,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,product_categories,What are your main product categories?,text,business_info,TRUE,,List 3-5 main categories,Retail,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,price_range,What is your typical product price range?,multiple_choice,business_info,TRUE,Under $25|$25-$50|$50-$100|$100-$250|$250-$500|$500+|Wide range,,Retail,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,bestsellers,What are your top-selling products?,text,business_info,TRUE,,,Retail,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,seasonal_products,Do you carry seasonal products?,boolean,operations,TRUE,,,Retail,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,loyalty_program,Do you have a loyalty or rewards program?,boolean,marketing,TRUE,,,Retail,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,services_offered,What services do you offer?,text,business_info,TRUE,,List all your main services,Health & Beauty,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,service_duration,What is the typical duration of your services?,multiple_choice,operations,TRUE,15-30 minutes|30-60 minutes|1-2 hours|2-3 hours|3+ hours|Varies widely,,Health & Beauty,All
2,Standard,Detailed business operations and customer insights (8-12 min),25,booking_system,How do clients book appointments?,multi_select,operations,TRUE,Walk-ins welcome|Online booking|Phone only|App|Social media DMs,,Health & Beauty,All
