Phase,Phase_Name,Phase_Description,ID,Question,Type,Category,Required,Options,Help Text,Industry,Subcategory
1,Business Basics,Essential information about your business,business_name,What is your business name?,text,business_info,TRUE,,,Core,All
1,Business Basics,Essential information about your business,business_description,Provide a brief description of your business and what makes it unique,text,business_info,TRUE,,This helps the AI understand your brand voice and positioning,Core,All
1,Business Basics,Essential information about your business,target_audience,Who is your primary target audience?,multi_select,customer_profile,TRUE,Students (18-24)|Young Professionals (25-34)|Established Professionals (35-50)|Seniors (50+)|Families with children|Teenagers|All ages,,Core,All
1,Business Basics,Essential information about your business,brand_voice,How would you describe your brand voice?,multi_select,business_info,TRUE,Professional|Friendly and casual|Fun and playful|Sophisticated|Trendy|Traditional|Humorous|Inspirational,,Core,All
2,Operations & Hours,Your business hours and peak times,operating_hours,What are your typical operating hours?,text,operations,TRUE,,e.g. Mon-Fri 9AM-6PM Sat 10AM-4PM,Core,All
2,Operations & Hours,Your business hours and peak times,busiest_days,Which days are typically your busiest?,multi_select,operations,TRUE,Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday,,Core,All
2,Operations & Hours,Your business hours and peak times,busiest_hours,What are your busiest hours during the day?,multi_select,operations,TRUE,Early morning (6-9 AM)|Morning (9-12 PM)|Lunch time (12-2 PM)|Afternoon (2-5 PM)|Evening (5-8 PM)|Night (8-11 PM)|Late night (11 PM+),,Core,All
2,Operations & Hours,Your business hours and peak times,slow_periods,When do you typically experience slow periods?,multi_select,operations,TRUE,Monday mornings|Weekday afternoons|Mid-week|Sunday evenings|Early mornings|Late nights|Specific months (specify in comments),,Core,All
2,Operations & Hours,Your business hours and peak times,seasonal_relevance,Is your business affected by seasons or holidays?,boolean,operations,TRUE,,,Core,All
2,Operations & Hours,Your business hours and peak times,important_seasons,Which seasons/holidays are most important for your business?,multi_select,operations,FALSE,New Year|Valentine's Day|Spring Break|Easter|Mother's Day|Father's Day|Summer|Back to School|Halloween|Thanksgiving|Black Friday/Cyber Monday|Christmas/Holiday Season|Local festivals/events,,Core,All
3,Customer Profile,Understanding your target customers,customer_income_level,What is the typical income level of your customers?,multiple_choice,customer_profile,TRUE,Budget-conscious|Mid-range|Premium|Luxury|Mixed,,Core,All
3,Customer Profile,Understanding your target customers,customer_visit_frequency,How often do customers typically visit?,multiple_choice,customer_profile,TRUE,Multiple times per week|Weekly|Bi-weekly|Monthly|Occasionally/Special occasions,,Food & Drink,All
3,Customer Profile,Understanding your target customers,apparel_demographics,Who do you primarily sell to?,multi_select,customer_profile,TRUE,Men|Women|Children|Babies|Plus-size|Petite|All,,Retail,Clothing & Apparel
